*sheet 1
57-7011 1 4.50
57-7012 6 0.75
57-7020 2 3.44
57-7021 2 22.68
57-7050 5 58.84
57-7052 1 20.04
57-7055 7 1.33
57-7076 18 0.20
57-7077 1 67.20
60-0224 1 3.60
60-0262 2 1.11
60-0358 5 11.84
60-0422 2 4.80
60-0477 3 14.18
*sheet 32
60-0560 1 4.32
60-0664 2 6.80
60-0625 1 4.80
60-1816 4 0.82
60-0971 2 0.90
60-0987 1 15.40
60-1819 1 4.80
60-1841 1 1.70
60-1822 1 4.10
60-1823 3 4.80
60-2103 20 0.45
60-2106 11 0.45
60-2138 20 0.12
60-2147 9 0.48
60-2322 12 0.06
60-2323 9 0.08
60-2336 27 0.11
60-2329 5 0.05
60-2330 7 0.10
60-2331 41 0.05
60-2332 13 0.05
60-2333 20 0.16
60-2338 7 0.05
60-2340 8 0.17
60-2341 39 0.17
60-2345 48 0.18
60-2347 7 0.06
60-2364 446 0.10
60-2365 64 0.11
60-2366 1750 0.12
60-2370 15 0.22
*sheet 33
60-2391 27 0.06
60-2416 48 0.16
60-2427 16 0.14
60-2600 3 2.80
60-2630 2 1.30
60-2632 2 1.40
60-2640 7 0.22
60-2684 58 0.10
60-2701 6 0.10
60-2720 171 0.22
60-3161 10 0.15
60-3148 48 2.76
60-3072 4 4.90
60-3246 11 11.65
60-3355 26 0.15
60-3367 20 0.42
60-3494 2 0.48
60-3512 6 2.06
60-3530 29 0.10
60-3548 193 0.52
60-3552 1 7.65
60-3566 3 3.80
60-3614 1 0.94
60-3722 4 1.60
60-3723 4 1.10
60-3748 67 0.27
60-3980 23 4.50
60-3994 12 5.40
60-4100 2 19.50
60-4125 2 18.60
60-4150 2 4.50
*sheet 34
60-4152 8 0.32
60-4153 37 0.18
60-4156 46 0.44
60-4182 8 0.16
60-4183 4 4.08
60-4206 2 10.00
60-4248 49 0.10
60-4251 47 0.11
60-4264 19 0.12
60-4333 14 3.12
60-4335 10 0.54
60-4374 7 0.38
60-4384 103 3.36
60-4393 37 0.21
60-4397 1 6.00
60-4401 1 72.00
60-4457 2 3.84
60-0466 2 4.20
60-0419 1 4.80
60-0495 2 4.80
60-0494 30 0.34
